,provinces,2007–2008,2008–2009,2009–2010,2010–2011,2011–2012,2012–2013,2013–2014,2014–2015,x_1,x_2,difference_2007_2015
9,Que.,7.9,8.1,8.1,8.3,9.3,9.1,10.2,10.1,1,2,2.1999999999999993
3,Man.,10.0,9.0,9.0,8.3,12.9,11.1,10.3,10.4,1,2,0.40000000000000036
6,N.S.,7.6,7.4,9.4,9.2,9.7,11.0,10.2,11.8,1,2,4.200000000000001
7,Ont.,9.6,9.4,10.3,10.5,12.2,13.1,12.2,12.1,1,2,2.5
5,N.L.,7.1,12.1,8.9,8.6,8.6,9.5,10.6,12.3,1,2,5.200000000000001
11,Territories,14.9,14.8,17.4,17.1,15.1,13.1,13.0,12.9,1,2,-2.0
2,Canada,10.2,10.3,11.0,11.5,12.7,13.1,13.0,13.5,1,2,3.3000000000000007
4,N.B.,8.6,7.4,11.5,15.8,13.6,14.5,14.0,14.6,1,2,6.0
8,P.E.I.,16.0,8.7,6.4,3.5,9.8,11.0,12.4,15.1,1,2,-0.9000000000000004
0,Alta.,11.5,13.0,14.7,15.0,14.1,15.3,16.1,17.7,1,2,6.199999999999999
1,B.C.,15.1,15.7,15.9,17.1,18.8,19.3,19.0,19.5,1,2,4.4
10,Sask.,14.6,11.7,13.5,15.2,17.3,16.2,13.6,19.9,1,2,5.299999999999999
